ID,Symptom,Medication Description
1,I have Headache,Pain relief medication to alleviate headache symptoms.
2,I have Sore Throat,Throat lozenges to soothe and relieve a sore throat.
3,I have Fever,Medication to reduce fever and alleviate associated discomfort.
4,I have Cough,Cough syrup to suppress coughing and promote rest.
5,I have Nausea,Medication to prevent and alleviate nausea symptoms.
6,I have Fatigue,Adequate rest is recommended to overcome fatigue and promote recovery.
7,I have Rash,Topical cream to alleviate and soothe skin rashes.
8,I have Stomach Pain,Antacids to neutralize stomach acid and alleviate pain.
9,I have Runny Nose,Decongestant to relieve nasal congestion and improve breathing.
10,I have Diarrhea,Medication to control and alleviate diarrhea symptoms.
11,I have Muscle Ache,Pain relief medication to alleviate muscle ache symptoms.
12,I have Insomnia,"Sleep aid medication, such as melatonin, to regulate sleep patterns."
13,I have Dizziness,"Medication, such as meclizine, used to treat dizziness and motion sickness."
14,I have Allergies,"Antihistamine, such as loratadine, used to relieve allergy symptoms."
15,I have Chest Pain,Nitroglycerin used to relieve chest pain (angina) in heart conditions.
16,I have Shortness of Breath,"Bronchodilator, such as albuterol, that helps with breathing difficulties."
17,I have Back Pain,Ibuprofen can alleviate back pain and reduce inflammation.
18,I have Migraine,"Migraine medication, such as sumatriptan, that narrows blood vessels."
19,I have Vomiting,Ondansetron is used to prevent and treat vomiting.
20,I have Joint Pain,"Nonsteroidal anti-inflammatory drug, such as naproxen, for joint pain."
21,I have Indigestion,Antacid for indigestion relief.
22,I have Dry Cough,Cough syrup with expectorant for dry cough relief.
23,I have Sore Muscles,Pain relief cream for sore muscle relief.
24,I have Itchy Eyes,Antihistamine eye drops for relief from itchy eyes.
25,I have Constipation,Stool softener for gentle relief from constipation.
26,I have Sunburn,Aloe vera gel for soothing sunburned skin.
27,I have Hay Fever,Allergy medication for hay fever symptoms.
28,I have Acid Reflux,Proton pump inhibitor for acid reflux relief.
29,I have Insulin Resistance,Medication to manage insulin resistance symptoms.
30,I have High Blood Pressure,Antihypertensive medication for managing high blood pressure.
31,I have Erectile Dysfunction,Phosphodiesterase inhibitor for managing erectile dysfunction.
32,I have Allergic Rhinitis,Intranasal corticosteroid for allergic rhinitis symptoms.
33,I have Urinary Tract Infection,Antibiotics for treating urinary tract infections.
34,I have Acne,Topical acne medication for managing acne symptoms.
35,I have Menstrual Cramps,Nonsteroidal anti-inflammatory drug for relieving menstrual cramps.
36,I have Asthma,Inhaled bronchodilator for managing asthma symptoms.
37,I have Insulin Dependent Diabetes,Insulin therapy for managing insulin-dependent diabetes.
38,I have Osteoarthritis,Analgesic medication for managing osteoarthritis pain.
39,I have Allergic Conjunctivitis,Antihistamine eye drops for allergic conjunctivitis relief.
40,I have Gastroenteritis,Oral rehydration solution for managing gastroenteritis symptoms.
41,I have Hyperthyroidism,Antithyroid medication for managing hyperthyroidism.
42,I have Insulinoma,Medication to manage symptoms of insulinoma.
43,I have Psoriasis,Topical corticosteroid for managing psoriasis symptoms.
44,I have Bipolar Disorder,Mood stabilizer for managing bipolar disorder symptoms.
45,I have Premenstrual Syndrome (PMS),Over-the-counter pain reliever for managing PMS symptoms.
46,I have Malaria,Antimalarial medication for treating and preventing malaria.
47,I have Parkinson's Disease,Dopamine agonist for managing Parkinson's disease symptoms.
48,I have Irritable Bowel Syndrome (IBS),Fiber supplement for managing IBS symptoms.
